GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,NAME,BTTRA,BTBGA,ALZLM001,ALZLM002,ALZLM003
"G0201000","2015-2019","AK",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100","Haines Borough, Alaska",,,99,117,99
"G0201050","2015-2019","AK",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105","Hoonah-Angoon Census Area, Alaska",,,70,64,33
"G0201100","2015-2019","AK",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110","Juneau City and Borough, Alaska",,,259,346,331
"G0201220","2015-2019","AK",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02122","Kenai Peninsula Borough, Alaska",,,455,465,405
"G0201300","2015-2019","AK",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02130","Ketchikan Gateway Borough, Alaska",,,125,127,125
"G0201500","2015-2019","AK",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02150","Kodiak Island Borough, Alaska",,,199,201,226
"G0201580","2015-2019","AK",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02158","Kusilvak Census Area, Alaska",,,71,72,81
"G0201640","2015-2019","AK",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02164","Lake and Peninsula Borough, Alaska",,,127,92,41
"G0201700","2015-2019","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",,,352,339,285
"G0201800","2015-2019","AK",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02180","Nome Census Area, Alaska",,,138,103,77
"G0201850","2015-2019","AK",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02185","North Slope Borough, Alaska",,,131,78,120
"G0201880","2015-2019","AK",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02188","Northwest Arctic Borough, Alaska",,,62,55,60
"G0201950","2015-2019","AK",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02195","Petersburg Borough, Alaska",,,116,92,78
"G0201980","2015-2019","AK",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02198","Prince of Wales-Hyder Census Area, Alaska",,,86,98,78
"G0202200","2015-2019","AK",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02220","Sitka City and Borough, Alaska",,,117,131,125
"G0202300","2015-2019","AK",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02230","Skagway Municipality, Alaska",,,40,30,23
"G0202400","2015-2019","AK",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02240","Southeast Fairbanks Census Area, Alaska",,,120,121,88
"G0202610","2015-2019","AK",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02261","Valdez-Cordova Census Area, Alaska",,,166,163,151
"G0202750","2015-2019","AK",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02275","Wrangell City and Borough, Alaska",,,68,72,45
"G0202820","2015-2019","AK",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02282","Yakutat City and Borough, Alaska",,,26,25,26
"G0202900","2015-2019","AK",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02290","Yukon-Koyukuk Census Area, Alaska",,,84,76,56
"G0400010","2015-2019","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",,,391,371,259
"G0400030","2015-2019","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",,,919,889,813
"G0400050","2015-2019","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",,,904,613,871
"G0400070","2015-2019","AZ",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04007","Gila County, Arizona",,,614,598,491
"G0400090","2015-2019","AZ",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04009","Graham County, Arizona",,,366,316,287
"G0400110","2015-2019","AZ",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04011","Greenlee County, Arizona",,,169,147,153
"G0400120","2015-2019","AZ",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04012","La Paz County, Arizona",,,469,410,427
"G0400130","2015-2019","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",,,5014,6160,3818
